# Fraxtal dLEND underlying tokens
0x788D96f655735f52c676A133f4dFC53cEC614d4A # Fraxtal dUSD
0xFC00000000000000000000000000000000000006 # Fraxtal frxETH
0xFC00000000000000000000000000000000000005 # Fraxtal sfrxETH
0xfc00000000000000000000000000000000000008 # Fraxtal sfrxUSD
0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2 # Fraxtal sUSDe
0xF1e2b576aF4C6a7eE966b14C810b772391e92153 # Fraxtal FXB20291231
0xFc00000000000000000000000000000000000002 # Fraxtal WFRAX
0xaB94C721040b33aA8b0b4D159Da9878e2a836Ed0 # Fraxtal scrvUSD
0xc38173D34afaEA88Bc482813B3CD267bc8A1EA83 # Fraxtal FXB20551231
0xacA9A33698cF96413A40A4eB9E87906ff40fC6CA # Fraxtal FXB20251231
0x09eAdcBAa812A4C076c3a6cDe765DC4a22E0d775 # Fraxtal sDAI
0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34 # Fraxtal USDe
0x8e9C334afc76106F08E0383907F4Fca9bB10BA3e # Fraxtal FXB_20261231

# Fraxtal dLEND aTokens
0x29d0256fe397F6e442464982C4Cba7670646059b # Fraxtal adUSD
0x29155d25B11EE91FEC887b09DA8ef86951799Ee0 # Fraxtal afrxETH
0x1F075573E3eB0D7B2D10266bA8c2c2449Fa862F7 # Fraxtal asfrxETH
0x8315047C1fdfb27656C2893B432324919F7448DE # Fraxtal asfrxUSD
0x12ED58F0744dE71C39118143dCc26977Cb99cDef # Fraxtal asUSDe
0xE919136c67493046fc26bF04E86A82C747eE2EDf # Fraxtal aFXB20291231
0x64188DE66adD8B3d813F2Dc157dFeDaf74F10ede # Fraxtal aWFRAX
0xc569B9e1A9144E365b60CBE8a16B37bA4a764BC9 # Fraxtal ascrvUSD
0xF1082f0323E6a35c93A05160E0e3054B62BF4C0e # Fraxtal aFXB20551231
0x5037aE643839CEdD678368d3614F03eD1179c5D4 # Fraxtal aFXB20251231
0xDba7B882B61b7B86f3BA897F84C36a15CaEF3345 # Fraxtal asDAI
0x6AE1450D550e44Bb014D4c8CD98592863edB0706 # Fraxtal aUSDe
0x2D8AE7d18D61Dd02eBF5367bb62bbd485736a0ab # Fraxtal aFXB_20261231

# Fraxtal dLEND stable debt tokens
0x2b6B97b57e69778AEd5fD018D731BC6750bE1d0e # Fraxtal stableDebtdUSD
0x6517fC01b58c0257c7d699aE581Bc097131C7a07 # Fraxtal stableDebtfrxETH
0x07E2FF4a69E89e71c692050F73ba57f5E03aC4d5 # Fraxtal stableDebtsfrxETH
0x22E21eb800a130E1BcC1dAC904Af0605d8393AC0 # Fraxtal stableDebtsfrxUSD
0x28EbD10278190253E8f60F0fD857B09341ca8f3d # Fraxtal stableDebtsUSDe
0xb410ef649B5D921d07bFd64de7c3A48D79Ab6eaa # Fraxtal stableDebtFXB20291231
0x8172e082EF81E10dFA29502F2b9c3CfA337069bD # Fraxtal stableDebtWFRAX
0x64b56195d1D88CC4536B836f20Bb115926BBe174 # Fraxtal stableDebtscrvUSD
0xc8cbbD0025Ec40c45a475E9a52f5948624F623CF # Fraxtal stableDebtFXB20551231
0x9CC9b6223b63F153c70A383188879a86621cf8c7 # Fraxtal stableDebtFXB20251231
0xA0bF83b89B2d70754E58b029b78983222e6db74D # Fraxtal stableDebtsDAI
0x63c3bCa46A86E441fF0bc7a4FB2d17E542935bAb # Fraxtal stableDebtUSDe
0x4c73D719207A816Cc45dF5324cBEaAb8D19b8800 # Fraxtal stableDebtFXB_20261231

# Fraxtal dLEND variable debt tokens
0x6B937da34fb213763458a3b7672B950df1F560dE # Fraxtal variableDebtdUSD
0x0066AEAA1D151445BC602517296F50c50c6393a0 # Fraxtal variableDebtfrxETH
0x2147ae7DCd4E514fc938a3fa77DF88a9253558b6 # Fraxtal variableDebtsfrxETH
0x4FcC4EF3ee5Dd6C714E1E25d43FAeC6257cc0d33 # Fraxtal variableDebtsfrxUSD
0x136E892611C0C695e48F24D079964c991528236f # Fraxtal variableDebtsUSDe
0x763a60f641D2e89C951247064CBECc12F4Bf0CBA # Fraxtal variableDebtFXB20291231
0xE87Ca9357cA84E339344db6235019cb4a9e1E65e # Fraxtal variableDebtWFRAX
0x575B697417cEa6B35F6e99C105c35Aef327b92e3 # Fraxtal variableDebtscrvUSD
0x73fb00Ba30F6C06094b24E91B3B394bc069eAf2b # Fraxtal variableDebtFXB20551231
0x72B8ad395c04456D187d76dBE3Ab5cD03ed1D131 # Fraxtal variableDebtFXB20251231
0xB8515BcaA20Ef4C773815b0aCDe68B6a61aaF67A # Fraxtal variableDebtsDAI
0x56892f41A21366bdD5Cf7cf3Db5C4170c0029253 # Fraxtal variableDebtUSDe
0x6Efc4CC5dFDCa6088c63fd24eF6d2516046a551C # Fraxtal variableDebtFXB_20261231
