# Sonic dLEND underlying tokens
0x53a6aBb52B2F968fA80dF6A894e4f1b1020DA975 # Sonic dUSD
0x614914B028A7D1fD4Fab1E5a53a3E2dF000bcB0e # Sonic dS
0xE5DA20F15420aD15DE0fa650600aFc998bbE3955 # Sonic stS
0x5Bff88cA1442c2496f7E475E9e7786383Bc070c0 # Sonic sfrxUSD
0x9fb76f7ce5FCeAA2C42887ff441D46095E494206 # Sonic wstkscUSD
0x50c42dEAcD8Fc9773493ED674b675bE577f2634b # Sonic WETH
0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812 # Sonic scETH
0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47 # Sonic wstkscETH
0x930441Aa7Ab17654dF5663781CA0C02CC17e6643 # Sonic PT-aSonUSDC-14AUG2025
0x0Fb682C9692AddCc1769f4D4d938c54420D54fA3 # Sonic PT-wstkscUSD-18DEC2025
0x9F0dF7799f6FDAd409300080cfF680f5A23df4b1 # Sonic wOS

# Sonic dLEND aTokens
0x8805f9D444dE3994aA69F8BBdFbC08fE3A277Aee # Sonic adUSD
0x88Ff4Db46767114CFA34C90a2dB0554be78b5BDc # Sonic adS
0x1a204fb7E64fd1c86403069EB1D7a4A75033e6A2 # Sonic astS
0x8dBf873B77280333a0328cf12d9e93d1A3AC1c06 # Sonic asfrxUSD
0x10451579fD6375c8beE09f1e2c5831aFDe9003ed # Sonic awstkscUSD
0x8d9D88151c09CcFd53Ae1162176eE34677142328 # Sonic aWETH
0x2901563AAAB6BFbbe8430835D311921744F5515A # Sonic ascETH
0xF0C5F8b8715d2E54415079c5a520Af5aB8858c75 # Sonic awstkscETH
0x9b8AB3281D83Ec313CaB44aB7dF60D09D898D758 # Sonic aPT-aSonUSDC-14AUG2025
0x7d82B74aa8F65066A4913742b35aEaE585577ff8 # Sonic aPT-wstkscUSD-18DEC2025
0x1721Db0bA01fD0b7c93cb31D31Ae99C6e2dA4350 # Sonic awOS

# Sonic dLEND stable debt tokens
0xe32614d0AE01FBdEa9B21D59651d6bDd5A5E2Bd3 # Sonic stableDebtdUSD
0x3AcF65660e908183f288d8FFa786331c6A870209 # Sonic stableDebtdS
0x2da549E8969B5Da7f9761Fa61e67728bC42e2775 # Sonic stableDebtstS
0xC09f29dF87E831D09d97476CD3a59994a4364bC9 # Sonic stableDebtsfrxUSD
0x7b8ad1407956BCe4864cd7e0D0aB041D5743F6A0 # Sonic stableDebtwstkscUSD
0xd164A3f2f832E9d2933195A2FC081ca73410cE99 # Sonic stableDebtWETH
0x43e1c2B01f80a763f776C6483e63C84A2333030C # Sonic stableDebtscETH
0x1a5398c82c43e6B6713cBA31C3703d9FdE801436 # Sonic stableDebtwstkscETH
0x8EEfb026a9b9B372a9dD9061B9d49bf4C58f3522 # Sonic stableDebtPT-aSonUSDC-14AUG2025
0xa7457C6363CE304bD55050fF9a8426eC0C064221 # Sonic stableDebtPT-wstkscUSD-18DEC2025
0x4da61a24F32cf45a66C6Be44EA465e8F96220F16 # Sonic stableDebtwOS

# Sonic dLEND variable debt tokens
0x72f1B09DEA4BEf67D223c21Ab4a2bfCaA60F0D51 # Sonic variableDebtdUSD
0xF177ef27512fa74604aabc748F4d0720B00D0BD1 # Sonic variableDebtdS
0x52A1E6a1AA5966bD0a564d855c65A15489CfD007 # Sonic variableDebtstS
0x38De95e5076eD78B73fFFaD52149d60921E4b35d # Sonic variableDebtsfrxUSD
0x4070DFd1dA9e6cac6B88Fe8b70E6eaDCda19dC5D # Sonic variableDebtwstkscUSD
0x1492d205d7510cd97Ea49aD3fb469E9f270412d4 # Sonic variableDebtWETH
0x4134D71c473D3317735ca7Dd740c8D22d65466BC # Sonic variableDebtscETH
0x079C4D176729FC5CA966D4121D8572AE54fe39A7 # Sonic variableDebtwstkscETH
0x7De490e40A14DB29b37881436d3Bb642BD9CA6E0 # Sonic variableDebtPT-aSonUSDC-14AUG2025
0x5Db841518803772b024ef50D0a8A02FaCd59F9cD # Sonic variableDebtPT-wstkscUSD-18DEC2025
0x78a4309E83b845558465FF31cfA6c04D682431E9 # Sonic variableDebtwOS
